"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1844788410923295118","Fri Oct 11 17:13:26 +0000 2024","1","wasit bahrain fifa #enakin https://t.co/cipVePNDgN","1844788410923295118","https://pbs.twimg.com/ext_tw_video_thumb/1844788399036911616/pu/img/KjPb-L-ayyfoWYGm.jpg","","in","Bandung Wetan, Indonesia","0","0","0","https://x.com/meldadadai/status/1844788410923295118","1816485233287688192","meldadadai"
"1844729606315897303","Fri Oct 11 17:13:21 +0000 2024","1","@ocehangaluh emg cukup aneh klo alesan kalah 100% karna kinerja wasit. pdhl babak 1 midfield dan forward ga jalan sma skali + gabisa keluar dari high press bahrain. babak kedua gagal manfaatin 2 peluang yg bisa kill the game","1844788392594153867","","ocehangaluh","in","","0","0","0","https://x.com/C0RTEIZ/status/1844788392594153867","1827278199400873984","C0RTEIZ"
"1844788253335200064","Fri Oct 11 17:12:48 +0000 2024","0","grup tele viral rare https://t.co/QNKF1iO7Gb bahrain FIFA wasit haram indonesia vs bahrain 433 curang","1844788253335200064","","","in","","0","0","0","https://x.com/_thehonoredones/status/1844788253335200064","1757961220106452992","_thehonoredones"
"1844440277366505501","Fri Oct 11 17:10:18 +0000 2024","0","@Dsinathrya @Rendicuiamik Sepakatt Bung. Sangat jelas wasit membantu bahrain.","1844787621064507862","","Dsinathrya","in","","0","0","0","https://x.com/santowadan/status/1844787621064507862","1772060279226167296","santowadan"
"1844787538168275168","Fri Oct 11 17:09:58 +0000 2024","0","Ancor mood seharian sampe mlm masih berasa gara gara wasit anjing masih ngk terima cok mana akun federasi bahrain ngk ilang ilang udh gk sakti lagi ni kaya nya neti indo #AFCMafia","1844787538168275168","","","in","","0","0","0","https://x.com/jery_tom18422/status/1844787538168275168","1801450150176636928","jery_tom18422"
"1844656459185066467","Fri Oct 11 17:08:14 +0000 2024","9","@koma_id Apa hukumannya bila raja dipermalukan oleh wasit dari oman dan permainan bahrain yg tidak berkelas","1844787104619888659","","koma_id","in","","0","0","1","https://x.com/mughir0/status/1844787104619888659","1680194224464232449","mughir0"
"1844786815460679724","Fri Oct 11 17:07:05 +0000 2024","8","Profil Ahmed Al Kaf Wasit Kontroversial Laga Timnas Indonesia vs Bahrain https://t.co/uerRwnTyzn","1844786815460679724","","","in","Jakarta","1","0","2","https://x.com/VIVAbola/status/1844786815460679724","95141299","VIVAbola"
"1844782023069642811","Fri Oct 11 16:48:03 +0000 2024","0","Judul: Mako-chan Kaihatsu Nikki Link: https://t.co/qP9I74m507 Wasit bahrain ahmed al kaf haram https://t.co/o5EOCkYkqd","1844782023069642811","https://pbs.twimg.com/media/GZn7eUNa8AANhZA.jpg","","in","","0","0","0","https://x.com/surgaanime/status/1844782023069642811","1805529306871087107","surgaanime"
"1844781765589705028","Fri Oct 11 16:47:01 +0000 2024","0","#Umpamane Bahrain negara miskin ga bisa suap wasit botak itu. https://t.co/FUFDQFg1yq","1844781765589705028","https://pbs.twimg.com/media/GZn7OWtboAAwhDM.jpg","","in","Indonesia","0","0","0","https://x.com/yogirahmono/status/1844781765589705028","279458367","yogirahmono"
"1844475486790979732","Fri Oct 11 16:46:50 +0000 2024","0","@afcasiancup @VisitSaudi #AFC_MAFIA coba di tinjau lagi tuh babak ke 2 golnya bahrain di menit yang udah kelewat. Dan saya kira itu tidak sah gol. Maunya berkelas tapi kok ga sportif tuh wasit. Atau ajarin cara hitung waktu dulu biar tau kalau 90 + 6 itu hasilnya bukan 99 ‍️","1844781717288083773","","afcasiancup","in","Indonesia (Gresik)","0","0","0","https://x.com/iphie97/status/1844781717288083773","372853052","iphie97"
"1844683931636875307","Fri Oct 11 16:46:33 +0000 2024","0","@Yugosshh Aku yakin seyakin-yakinnya Bahrain mustahil 1.000.000% lolos piala dunia itupun masih dibantu @theafcdotcom @afcasiancup dan wasit. Wkwkwk","1844781645565477197","","Yugosshh","in","","0","0","0","https://x.com/AirMengali5465/status/1844781645565477197","1788858343756582912","AirMengali5465"
"1844755624644800971","Fri Oct 11 16:45:49 +0000 2024","0","@utdfocusid 1. Bahrain VS Indonesia 2. Istanbul 2005 3. Final Euro 2000 Se nyesek2nya liat Milan/Italy kalah jauh lebih nyesek liat wasit semalem. Botak palkon anjing sundal bangsat ngentot!","1844781462094262399","","utdfocusid","in","","0","0","0","https://x.com/lanangngono/status/1844781462094262399","2709164240","lanangngono"
"1844444567040586001","Fri Oct 11 16:44:40 +0000 2024","0","@UmarSyadatHsb__ Presiden AFC dari Bahrain Wasit bisa milih dari non Arab juga masih banyak Milihnya yang cuma sejarak antar ujung pulau Jawa ASU emang https://t.co/0W1LNb3tvK","1844781173995630647","https://pbs.twimg.com/media/GZn6s2TbIAAywjl.jpg","UmarSyadatHsb__","in","","0","0","1","https://x.com/MazGondhez/status/1844781173995630647","1599338481125560321","MazGondhez"
"1844448365737918796","Fri Oct 11 16:44:00 +0000 2024","0","@Ikhsan93085278 @Rossifinza apa mas dibayar sama kedutaan Bahrain untuk mengcounter fans Indonesia? berapa menit liat var berapa banyak guling2 berapa banyak pluit di semprit sama wasit","1844781004881297785","","Ikhsan93085278","in","Di Rumah","0","0","0","https://x.com/FikriAkbar02/status/1844781004881297785","1011617641910304768","FikriAkbar02"
